tendigit_fips,year,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,fips_id,margin_against,failed_levy,close_3,close_5,close_7_5
3900702652,1997,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,375,213,63.775508880615234,36.224491119384766,3900702652,-13.775508880615234,0,0,0,0
3900702652,2001,Ashtabula,Township,Ashtabula,Property,roads,A,5,1,353,271,56.57051467895508,43.42948532104492,3900702652,-6.570514678955078,0,0,0,1
3900702652,2002,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,784,478,62.12361145019531,37.87638854980469,3900702652,-12.123611450195313,0,0,0,0
3900702652,2005,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,1049,654,61.59718322753906,38.40281677246094,3900702652,-11.597183227539063,0,0,0,0
3900702652,2006,Ashtabula,Township,Ashtabula,Property,roads,A,5,.25,1150,1011,53.216102600097656,46.783897399902344,3900702652,-3.2161026000976563,0,0,1,1
3900702652,2008,Ashtabula,Township,Ashtabula,Property,roads,A,5,.5,866,826,51.18203353881836,48.81796646118164,3900702652,-1.1820335388183594,0,1,1,1
3900702652,2010,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,1322,537,71.1135025024414,28.886497497558594,3900702652,-21.113502502441406,0,0,0,0
3900702652,2011,Ashtabula,Township,Ashtabula,Property,roads,R,5,1.25,1253,575,68.54486083984375,31.45513916015625,3900702652,-18.54486083984375,0,0,0,0
3900702652,2012,Ashtabula,Township,Ashtabula,Property,roads,R,5,.5,1646,837,66.29077911376953,33.70922088623047,3900702652,-16.29077911376953,0,0,0,0
3900702652,2014,Ashtabula,Township,Ashtabula,Property,roads,A,5,1,998,631,61.26457977294922,38.73542022705078,3900702652,-11.264579772949219,0,0,0,0
3900702652,2015,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,1222,404,75.15375518798828,24.84624481201172,3900702652,-25.15375518798828,0,0,0,0
3900702652,2016,Ashtabula,Township,Ashtabula,Property,roads,R,5,1.25,1753,571,75.43029022216797,24.56970977783203,3900702652,-25.43029022216797,0,0,0,0
3900702652,2017,Ashtabula,Township,Ashtabula,Property,roads,R,5,.5,901,274,76.68085479736328,23.31914520263672,3900702652,-26.68085479736328,0,0,0,0
3900702652,2018,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,1420,452,75.85469818115234,24.145301818847656,3900702652,-25.854698181152344,0,0,0,0
3900702652,2020,Ashtabula,Township,Ashtabula,property,roads,R,5,1,1801,641,73.75102233886719,26.248977661132813,3900702652,-23.751022338867188,0,0,0,0
3900702652,2021,Ashtabula,Township,Ashtabula,property,roads,R,5,1.25,633,213,74.82269287109375,25.17730712890625,3900702652,-24.82269287109375,0,0,0,0
3900703156,1992,Austinburg,Township,Ashtabula,Property,roads,R,-999,2,598,317,65.355194091796875,34.644805908203125,3900703156,-15.355194091796875,0,0,0,0
3900703156,1994,Austinburg,Township,Ashtabula,Property,roads,R,5,1,484,301,61.65605163574219,38.34394836425781,3900703156,-11.656051635742188,0,0,0,0
3900703156,1997,Austinburg,Township,Ashtabula,Property,roads,R,5,2,474,264,64.22764587402344,35.77235412597656,3900703156,-14.227645874023438,0,0,0,0
3900703156,1999,Austinburg,Township,Ashtabula,Property,roads,R,5,1,378,176,68.231048583984375,31.768951416015625,3900703156,-18.231048583984375,0,0,0,0
3900703156,2002,Austinburg,Township,Ashtabula,Property,roads,R,5,2,580,274,67.91568756103516,32.084312438964844,3900703156,-17.915687561035156,0,0,0,0
3900703156,2004,Austinburg,Township,Ashtabula,Property,roads,R,5,1,745,522,58.800315856933594,41.199684143066406,3900703156,-8.800315856933594,0,0,0,0
3900703156,2007,Austinburg,Township,Ashtabula,Property,roads,R,5,2,454,200,69.41896057128906,30.581039428710938,3900703156,-19.418960571289063,0,0,0,0
3900703156,2009,Austinburg,Township,Ashtabula,Property,roads,R,5,1,587,232,71.67277526855469,28.327224731445313,3900703156,-21.672775268554688,0,0,0,0
3900703156,2012,Austinburg,Township,Ashtabula,Property,roads,R,5,2,770,414,65.033782958984375,34.966217041015625,3900703156,-15.033782958984375,0,0,0,0
3900703156,2014,Austinburg,Township,Ashtabula,Property,roads,R,5,1,614,206,74.8780517578125,25.1219482421875,3900703156,-24.8780517578125,0,0,0,0
3900703156,2017,Austinburg,Township,Ashtabula,Property,roads,R,5,2,489,172,73.97882080078125,26.02117919921875,3900703156,-23.97882080078125,0,0,0,0
3900703156,2019,Austinburg,Township,Ashtabula,property,roads,R,5,1,514,151,77.2932357788086,22.706764221191406,3900703156,-27.293235778808594,0,0,0,0
3900713890,2003,Cherry Valley,Township,Ashtabula,Property,roads,A,4,4,68,120,36.17021179199219,63.82978820800781,3900713890,13.829788208007813,1,0,0,0
3900716560,1994,Colebrook,Township,Ashtabula,Property,roads,R,5,1.25,134,76,63.80952453613281,36.19047546386719,3900716560,-13.809524536132813,0,0,0,0
3900716560,1999,Colebrook,Township,Ashtabula,Property,roads,R,5,1.25,109,34,76.2237777709961,23.776222229003906,3900716560,-26.223777770996094,0,0,0,0
3900716560,2004,Colebrook,Township,Ashtabula,Property,roads,R,4,1.25,197,166,54.26997375488281,45.73002624511719,3900716560,-4.2699737548828125,0,0,1,1
